Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
4/1/2018 1:00,12.22,284.7,4.016,AN,AN,-9.55,-9.54,0.013,91,-0.041,768.5,AF
4/1/2018 2:00,11.95,284.7,3.084,AN,AN,-10.85,-10.78,0.069,90.2,0.02,769.4,AF
4/1/2018 3:00,11,282.6,2.956,AN,AN,-11.33,-11.26,0.07,89.9,0.016,770.2,AF
4/1/2018 4:00,11.16,283.2,3.29,AN,AN,-12.3,-12.14,0.156,89.3,0.01,771,AF
4/1/2018 5:00,10.47,280.6,3.096,AN,AN,-12.96,-12.79,0.177,88.8,0.012,771.8,AF
4/1/2018 6:00,10.41,277.9,2.834,AN,AN,-13.19,-13.19,-0.001,88.5,0.009,772.5,AF
4/1/2018 7:00,11.45,278.5,3.005,AN,AN,-13.15,-13.21,-0.063,88.3,0.508,773.2,AF
4/1/2018 8:00,11.86,281.2,2.598,AN,AN,-13.69,-13.8,-0.111,87.8,12.32,773.8,AF
4/1/2018 9:00,10.75,280,2.655,AN,AN,-14.38,-14.57,-0.188,86.4,90.5,774.5,AF
4/1/2018 10:00,10.9,278,2.775,AN,AN,-14.8,-15.36,-0.559,83.5,242.7,775.1,AF
4/1/2018 11:00,9.99,277.8,2.705,AN,AN,-14.85,-15.61,-0.763,80.7,380.6,775.9,AF
4/1/2018 12:00,9.01,277.6,2.545,AN,AN,-14.93,-15.52,-0.583,78.57,472.5,776.5,AF
4/1/2018 13:00,9.61,276.6,2.655,AN,AN,-15.02,-15.1,-0.086,78.37,524.2,777,AF
4/1/2018 14:00,9.35,277.9,2.842,AN,AN,-15.21,-14.89,0.322,80.1,545.9,777.6,AF
4/1/2018 15:00,9.2,282.6,2.89,AN,AN,-15.26,-14.82,0.443,80.7,545.8,778,AF
4/1/2018 16:00,8.29,283.9,2.967,AN,AN,-15.16,-14.81,0.346,81,508.3,778.3,AF
4/1/2018 17:00,6.495,274,4.614,AN,AN,-14.98,-14.44,0.538,80.1,448.5,778.7,AF
4/1/2018 18:00,5.904,265.3,5.788,AN,AN,-15.02,-14.65,0.373,79.77,367.1,778.9,AF
4/1/2018 19:00,6.204,258.3,4.859,AN,AN,-15.24,-15.29,-0.053,80.1,267.7,779.1,AF
4/1/2018 20:00,5.489,252.2,5.912,AN,AN,-16.09,-16.18,-0.09,81,152.4,779.2,AF
4/1/2018 21:00,5.792,246.7,6.132,AN,AN,-17.81,-17.13,0.686,82.3,52.68,779.2,AF
4/1/2018 22:00,5.297,246.5,8.58,AN,AN,-19.45,-18.11,1.341,84.1,5.856,779.1,AF
4/1/2018 23:00,5.361,234.7,7.102,AN,AN,-20.32,-19.04,1.283,84.4,0.208,779.1,AF
4/2/2018 0:00,4.694,242.6,6.103,AN,AN,-20.41,-18.82,1.592,84.8,0.122,778.9,AF
4/2/2018 1:00,3.863,239.5,9.43,AN,AN,-20.96,-19.19,1.774,84.2,0.158,778.8,AF
4/2/2018 2:00,2.748,238.5,15.7,AN,AN,-20.92,-19.36,1.554,84.4,0.16,778.6,AF
4/2/2018 3:00,1.802,259.6,12.56,AN,AN,-20.78,-19.5,1.275,84.3,0.077,778.4,AF
4/2/2018 4:00,2.348,221.1,14.26,AN,AN,-21.9,-19.59,2.315,83.3,0.125,777.9,AF
4/2/2018 5:00,1.7,211,8.04,AN,AN,-21.8,-18.73,3.067,83.4,0.116,777.5,AF
4/2/2018 6:00,1.149,196.3,19.53,AN,AN,-22.82,-19.51,3.309,83,0.041,777.3,AF
4/2/2018 7:00,0.821,161,6.644,AN,AN,-22.24,-18.55,3.689,83,1.049,777,AF
4/2/2018 8:00,0.796,127.8,6.374,AN,AN,-21.73,-18.83,2.897,82.5,14.55,776.7,AF
4/2/2018 9:00,0.87,104.1,7.611,AN,AN,-21.03,-18.94,2.084,82.4,59.19,776.5,AF
4/2/2018 10:00,0.834,127.5,6.05,AN,AN,-19.98,-18.02,1.961,81.5,115,776.1,AF
4/2/2018 11:00,0.573,125.1,6.441,AN,AN,-18.23,-17.05,1.182,81.2,184.2,775.6,AF
4/2/2018 12:00,1.164,88.5,8.33,AN,AN,-16.34,-16.6,-0.253,80.7,294.7,775.3,AF
4/2/2018 13:00,3.212,64.19,4.558,AN,AN,-16.9,-17.87,-0.973,81,343.1,775.2,AF
4/2/2018 14:00,3.707,67.24,3.776,AN,AN,-16.24,-16.93,-0.687,82.6,353.3,775,AF
4/2/2018 15:00,4.127,79.24,3.094,AN,AN,-15.52,-16.18,-0.66,83.6,302.1,774.7,AF
4/2/2018 16:00,4.53,76.07,3.567,AN,AN,-15.02,-15.83,-0.806,84.2,311.2,774.4,AF
4/2/2018 17:00,4.441,73.22,3.234,AN,AN,-15.04,-15.84,-0.795,84,270.8,774.4,AF
4/2/2018 18:00,3.722,66.31,3.72,AN,AN,-15.6,-16.21,-0.617,83.8,266.1,774.5,AF
4/2/2018 19:00,4.77,62.44,2.98,AN,AN,-16.06,-16.53,-0.471,83.8,185.8,774.5,AF
4/2/2018 20:00,4.392,61.36,3.135,AN,AN,-17.37,-17.4,-0.036,83.6,133.1,774.6,AF
4/2/2018 21:00,3.737,55.92,2.937,AN,AN,-19.15,-18.57,0.587,83.1,32.51,774.8,AF
4/2/2018 22:00,3.657,44.78,3.054,AN,AN,-19.85,-19.03,0.82,83.4,4.862,774.8,AF
4/2/2018 23:00,1.878,41.16,6.489,AN,AN,-21.52,-20.7,0.818,82.4,0.076,775.1,AF
4/3/2018 0:00,1.983,35.42,9.96,AN,AN,-22.27,-21.11,1.161,82.3,-0.055,775.2,AF
4/3/2018 1:00,2.337,42.2,8.69,AN,AN,-23,-21.97,1.029,81.5,-0.076,775.6,AF
4/3/2018 2:00,2.381,32.82,3.249,AN,AN,-23.62,-22.44,1.177,81.1,-0.051,775.9,AF
4/3/2018 3:00,2.27,31.03,5.983,AN,AN,-24.42,-23.31,1.111,80.5,-0.054,776,AF
4/3/2018 4:00,2.001,25.44,7.589,AN,AN,-25.2,-23.93,1.268,80.1,-0.022,776.1,AF
4/3/2018 5:00,1.915,22.03,8.09,AN,AN,-25.36,-24.19,1.167,80,-0.01,776.3,AF
4/3/2018 6:00,1.796,19.33,5.802,AN,AN,-25.77,-24.52,1.247,79.71,-0.001,776.5,AF
4/3/2018 7:00,1.578,2.71,5.783,AN,AN,-26.15,-24.91,1.244,79.69,1.245,776.7,AF
4/3/2018 8:00,1.604,338.9,8.07,AN,AN,-26.14,-25.42,0.723,79.1,27.85,776.9,AF
4/3/2018 9:00,1.433,304.2,8.47,AN,AN,-24.74,-24.72,0.023,77.64,131,776.9,AF
4/3/2018 10:00,1.455,310.5,7.994,AN,AN,-23.64,-22.93,0.715,76.03,260.3,776.8,AF
4/3/2018 11:00,1.798,297.9,5.759,AN,AN,-22.69,-21.81,0.881,73.79,334.2,776.8,AF
4/3/2018 12:00,2.528,300,7.158,AN,AN,-22.5,-22.43,0.073,75.14,214.6,776.9,AF
4/3/2018 13:00,3.091,334.9,7.658,AN,AN,-21.03,-21.08,-0.044,78.17,222,776.9,AF
4/3/2018 14:00,3.729,8.38,9.18,AN,AN,-19.39,-20.44,-1.048,79.27,243.7,776.8,AF
4/3/2018 15:00,3.661,32.06,6.223,AN,AN,-18.62,-20.25,-1.633,78.36,246.3,776.8,AF
4/3/2018 16:00,2.922,35.81,5.936,AN,AN,-18.05,-19.69,-1.645,77.72,231.1,776.7,AF
4/3/2018 17:00,2.844,35.1,7.737,AN,AN,-17.77,-19.29,-1.528,77.78,210,776.6,AF
4/3/2018 18:00,3.036,38.34,8.36,AN,AN,-17.71,-19.01,-1.305,78.23,175.4,776.4,AF
4/3/2018 19:00,3.703,49.43,4.911,AN,AN,-18.21,-19.03,-0.819,79.22,121.6,776.6,AF
4/3/2018 20:00,3.547,45.93,3.991,AN,AN,-18.52,-18.98,-0.463,80.4,71.85,776.6,AF
4/3/2018 21:00,3.508,55.11,3.734,AN,AN,-18.92,-19.04,-0.121,81.6,28.34,776.5,AF
4/3/2018 22:00,3.182,53.61,2.32,AN,AN,-21.37,-20.12,1.248,81.5,5.855,776.7,AF
4/3/2018 23:00,3.208,53.84,3.313,AN,AN,-22.57,-20.84,1.73,81.9,0.173,776.9,AF
4/4/2018 0:00,3.188,53.07,5.306,AN,AN,-22.13,-20.83,1.297,82.2,0.01,776.8,AF
4/4/2018 1:00,2.489,40.94,6.753,AN,AN,-21.96,-21.84,0.125,81.9,-0.009,776.8,AF
4/4/2018 2:00,3.441,48.05,5.446,AN,AN,-20.64,-20.66,-0.021,82.7,0.017,776.8,AF
4/4/2018 3:00,4.267,54.66,5.293,AN,AN,-19.46,-19.48,-0.024,83.3,0.026,776.7,AF
4/4/2018 4:00,4.072,50.9,3.927,AN,AN,-18.97,-19.02,-0.043,83.5,0.017,776.6,AF
4/4/2018 5:00,3.745,43.24,4.675,AN,AN,-18.69,-18.74,-0.049,83.8,0.016,776.3,AF
4/4/2018 6:00,4.637,34.86,3.714,AN,AN,-18.48,-18.54,-0.062,83.9,0.032,776.2,AF
4/4/2018 7:00,4.97,35.2,3.792,AN,AN,-18.45,-18.53,-0.079,83.9,0.912,776.1,AF
4/4/2018 8:00,4.562,42.56,4.206,AN,AN,-18.34,-18.46,-0.113,83.9,11.35,776,AF
4/4/2018 9:00,4.257,41.75,4.491,AN,AN,-17.94,-18.17,-0.23,83.8,41.54,775.8,AF
4/4/2018 10:00,4.439,42.21,4.244,AN,AN,-17.43,-17.87,-0.442,83.4,86,775.6,AF
4/4/2018 11:00,5.438,49.07,3.934,AN,AN,-16.95,-17.53,-0.587,83.2,133.7,775.4,AF
4/4/2018 12:00,6.286,49.66,3.686,AN,AN,-16.18,-16.95,-0.772,82.9,191.9,775.1,AF
4/4/2018 13:00,6.113,44.55,3.903,AN,AN,-15.57,-16.5,-0.928,82.2,278.4,774.8,AF
4/4/2018 14:00,6.72,45.22,5.653,AN,AN,-14.72,-15.78,-1.066,81.9,264.5,774.5,AF
4/4/2018 15:00,8.17,77.77,5.306,AN,AN,-14.98,-15.7,-0.72,81.8,323.2,774.1,AF
4/4/2018 16:00,8.17,84.2,4.248,AN,AN,-14.95,-15.06,-0.115,81,325.5,773.7,AF
4/4/2018 17:00,7.89,73.68,3.988,AN,AN,-14.84,-14.81,0.036,79.47,271.3,773.2,AF
4/4/2018 18:00,9.06,66.27,3.643,AN,AN,-14.86,-14.9,-0.033,81.7,206.5,772.7,AF
4/4/2018 19:00,9.4,56.4,3.813,AN,AN,-15.6,-15.72,-0.117,83.2,177.6,772.4,AF
4/4/2018 20:00,7.903,56.22,3.34,AN,AN,-17.11,-16.99,0.122,83.4,228,772.3,AF
4/4/2018 21:00,6.763,53.91,3.13,AN,AN,-18.43,-18.23,0.198,83.2,78.39,772.1,AF
4/4/2018 22:00,6.384,50.47,3.205,AN,AN,-19.25,-19.19,0.06,83.5,8.88,771.8,AF
4/4/2018 23:00,6.333,57.06,3.455,AN,AN,-19.67,-19.68,-0.014,83.2,0.199,771.5,AF
4/5/2018 0:00,6.625,55.01,3.351,AN,AN,-20.58,-20.36,0.223,82.5,-0.068,771.2,AF
