Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
11/14/2018 0:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 1:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 2:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 3:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 4:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 5:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 6:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
11/14/2018 7:00,2.017,BJ,BJ,0.13,0.068,-27.356,-26.894,0.462,78.1,0,768.7,AF
11/14/2018 8:00,1.814,BJ,BJ,0.03,0.092,-27.381,-26.97,0.411,78.17,0,768.5,AF
11/14/2018 9:00,1.785,BJ,BJ,0.063,0.09,-27.42,-26.74,0.68,78.2,0,768.5,AF
11/14/2018 10:00,1.253,BJ,BJ,0.218,0.101,-26.868,-26.306,0.562,78.41,0.121,768.6,AF
11/14/2018 11:00,1.399,BJ,BJ,0.012,0.031,-27.138,-26.446,0.692,77.99,2.088,768.5,AF
11/14/2018 12:00,1.721,BJ,BJ,-0.012,0.026,-27.151,-25.82,1.331,77.77,16.612,768.2,AF
11/14/2018 13:00,1.627,BJ,BJ,0.001,0.028,-28.061,-25.232,2.829,77.31,32.967,768,AF
11/14/2018 14:00,1.384,BJ,BJ,-0.014,0.033,-28.472,-26.255,2.217,77,31.363,767.7,AF
11/14/2018 15:00,1.359,BJ,BJ,-0.016,0.033,-28.728,-27.201,1.527,76.97,15.629,767.5,AF
