Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
4/1/2018 1:00,12.67,288.7,4.431,2.013,0.398,-9.57,-9.57,0.002,91.6,-0.045,768.7,AF
4/1/2018 2:00,12.47,288.9,3.432,1.979,0.407,-10.87,-10.81,0.06,90.8,-0.018,769.6,AF
4/1/2018 3:00,11.55,286.6,3.484,1.803,0.356,-11.36,-11.29,0.064,90.6,-0.006,770.4,AF
4/1/2018 4:00,11.67,287.2,3.886,1.847,0.398,-12.32,-12.17,0.152,90,-0.009,771.2,AF
4/1/2018 5:00,11.04,284.2,3.716,1.683,0.365,-12.99,-12.81,0.177,89.5,-0.019,772,AF
4/1/2018 6:00,11.02,280.9,3.411,1.673,0.382,-13.22,-13.22,0,89.3,-0.007,772.7,AF
4/1/2018 7:00,12.14,281.8,3.579,1.912,0.405,-13.17,-13.24,-0.064,89.1,0.482,773.5,AF
4/1/2018 8:00,12.53,285.1,3.308,1.98,0.378,-13.72,-13.83,-0.114,88.6,12.21,774,AF
4/1/2018 9:00,11.36,283.6,3.217,1.77,0.33,-14.4,-14.6,-0.201,86.7,90.3,774.7,AF
4/1/2018 10:00,11.56,281.1,3.286,1.778,0.369,-14.81,-15.42,-0.605,83.9,234.9,775.4,AF
4/1/2018 11:00,10.58,280.9,3.179,1.617,0.335,-14.85,-15.7,-0.855,82,372.3,776.1,AF
4/1/2018 12:00,9.52,280.5,2.988,1.387,0.293,-14.92,-15.66,-0.746,80.6,470.3,776.7,AF
4/1/2018 13:00,10.17,279.5,3.019,1.521,0.314,-15,-15.27,-0.274,81.5,538.8,777.2,AF
4/1/2018 14:00,9.88,281.1,3.291,1.489,0.312,-15.22,-15.07,0.147,82.3,554,777.8,AF
4/1/2018 15:00,9.68,286.8,3.521,1.493,0.275,-15.29,-14.99,0.298,82.6,543.5,778.2,AF
4/1/2018 16:00,8.68,288.3,3.421,1.349,0.259,-15.19,-14.92,0.268,82.8,502.7,778.5,AF
4/1/2018 17:00,6.76,276.8,4.819,0.986,0.23,-15,-14.56,0.446,82.4,430,778.9,AF
4/1/2018 18:00,6.09,268,5.923,0.828,0.217,-15.02,-14.74,0.272,82.7,340.2,779.1,AF
4/1/2018 19:00,6.169,260.8,4.951,0.797,0.183,-15.22,-15.34,-0.12,82.9,250.6,779.3,AF
4/1/2018 20:00,5.482,254.3,6.125,0.644,0.165,-16.12,-16.28,-0.16,83.3,149.5,779.4,AF
4/1/2018 21:00,5.826,248.6,6.351,0.636,0.124,-17.85,-17.2,0.652,84.1,63.17,779.4,AF
4/1/2018 22:00,5.229,248.5,8.77,0.535,0.161,-19.49,-18.14,1.348,85.3,6.128,779.3,AF
4/1/2018 23:00,5.244,236.2,7.406,0.444,0.185,-20.36,-19.07,1.291,85.1,0.014,779.3,AF
4/2/2018 0:00,4.716,244.3,6.394,0.455,0.155,-20.45,-18.84,1.603,85.1,-0.059,779.1,AF
4/2/2018 1:00,3.89,241,9.81,0.375,0.152,-21,-19.22,1.785,84.1,-0.051,779,AF
4/2/2018 2:00,2.763,239.7,16.09,0.245,0.133,-20.97,-19.41,1.562,84.3,-0.049,778.8,AF
4/2/2018 3:00,1.829,260.8,13.11,0.17,0.115,-20.82,-19.57,1.251,84,-0.001,778.6,AF
4/2/2018 4:00,2.371,221.2,14.56,0.197,0.132,-21.96,-19.61,2.348,83,-0.092,778.2,AF
4/2/2018 5:00,1.745,210.5,7.623,0.162,0.127,-21.85,-18.77,3.082,83,-0.096,777.8,AF
4/2/2018 6:00,1.186,195.9,17.46,0.106,0.149,-22.87,-19.66,3.217,82.3,-0.092,777.5,AF
4/2/2018 7:00,0.676,164.1,5.795,0.014,0.057,-22.28,-18.7,3.584,82.7,1.108,777.2,AF
4/2/2018 8:00,0.641,127.2,6.337,0.049,0.102,-21.75,-18.86,2.891,82.5,15.76,776.9,AF
4/2/2018 9:00,0.793,103.5,6.395,0.054,0.127,-21.07,-18.94,2.126,82.5,58.42,776.7,AF
4/2/2018 10:00,0.673,124.8,6.675,0.154,0.106,-20.06,-18.02,2.035,82.2,111.7,776.4,AF
4/2/2018 11:00,0.396,121.6,5.591,0.103,0.103,-18.26,-17.06,1.203,81.9,176,775.8,AF
4/2/2018 12:00,0.98,87.3,7.98,0.051,0.108,-16.24,-16.61,-0.375,80.7,273.8,775.5,AF
4/2/2018 13:00,2.959,65.79,5.368,0.012,0.095,-16.8,-17.83,-1.031,81.9,321.4,775.4,AF
4/2/2018 14:00,3.85,70.19,4.077,-0.048,0.135,-16.23,-16.94,-0.707,83.5,349,775.2,AF
4/2/2018 15:00,4.542,81.5,3.124,-0.08,0.2,-15.55,-16.2,-0.642,84.6,308.1,774.9,AF
4/2/2018 16:00,4.953,78.58,3.637,-0.094,0.195,-15.06,-15.84,-0.775,85,318,774.6,AF
4/2/2018 17:00,4.676,75.96,3.269,-0.06,0.166,-15.09,-15.85,-0.762,85,282.5,774.6,AF
4/2/2018 18:00,3.868,68.71,4.284,0.04,0.175,-15.63,-16.22,-0.588,84.9,286.4,774.7,AF
4/2/2018 19:00,5.135,64.65,3.721,0.177,0.222,-16.07,-16.54,-0.475,85.1,195.2,774.7,AF
4/2/2018 20:00,4.685,63.49,3.858,0.205,0.224,-17.4,-17.43,-0.034,84.6,124.6,774.8,AF
4/2/2018 21:00,3.809,57.6,3.261,0.282,0.207,-19.18,-18.58,0.6,83.9,32.05,775,AF
4/2/2018 22:00,3.602,47.38,2.346,0.264,0.162,-19.86,-19.05,0.817,84,4.745,775,AF
4/2/2018 23:00,1.878,44.91,5.645,0.045,0.12,-21.51,-20.7,0.811,82.7,0.067,775.3,AF
4/3/2018 0:00,1.995,40.11,8.98,-0.007,0.214,-22.23,-21.11,1.126,82.9,-0.004,775.4,AF
4/3/2018 1:00,2.386,46,7.757,0.024,0.191,-22.99,-21.97,1.014,81.8,-0.003,775.8,AF
4/3/2018 2:00,2.447,37.8,2.999,0.033,0.1,-23.62,-22.44,1.18,81.4,-0.001,776.1,AF
4/3/2018 3:00,2.375,36.33,5.44,0.049,0.14,-24.42,-23.32,1.108,80.8,-0.002,776.2,AF
4/3/2018 4:00,2.103,31.32,7.091,0.028,0.119,-25.21,-23.93,1.275,80.4,-0.002,776.3,AF
4/3/2018 5:00,2.022,28.18,8.06,0.034,0.157,-25.37,-24.2,1.17,80.4,-0.001,776.5,AF
4/3/2018 6:00,1.897,25.7,5.714,0.035,0.105,-25.77,-24.52,1.256,79.94,-0.005,776.7,AF
4/3/2018 7:00,1.637,8.98,6.063,0.071,0.104,-26.28,-24.88,1.394,79.85,0.945,776.9,AF
