,Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
0,2018-11-14 00:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
1,2018-11-14 01:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
2,2018-11-14 02:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
3,2018-11-14 03:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
4,2018-11-14 04:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
5,2018-11-14 05:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
6,2018-11-14 06:00:00,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF,AF
7,2018-11-14 07:00:00,1.216,235.0,6.685,0.281,0.134,-27.36,-27.096999999999998,0.263,79.25,0.0,769.0,AF
8,2018-11-14 08:00:00,1.212,217.9,5.78,0.413,0.143,-27.398000000000003,-27.186999999999998,0.21100000000000002,79.46,0.0,768.8,AF
9,2018-11-14 09:00:00,0.77,243.4,5.577,0.312,0.139,-27.462,-26.980999999999998,0.48100000000000004,79.38,0.0,768.7,AF
10,2018-11-14 10:00:00,0.576,281.2,9.38,0.307,0.11,-26.886,-26.506,0.38,79.77,0.102,768.9,AF
11,2018-11-14 11:00:00,0.523,225.4,4.941,0.233,0.12,-27.180999999999997,-26.66,0.521,79.14,2.123,768.7,AF
12,2018-11-14 12:00:00,0.66,214.4,3.169,0.308,0.114,-27.104,-26.121,0.983,78.94,16.579,768.5,AF
13,2018-11-14 13:00:00,0.543,218.8,4.603,0.229,0.136,-28.076,-25.647,2.4290000000000003,78.5,32.31,768.2,AF
14,2018-11-14 14:00:00,0.589,205.2,6.071,0.386,0.11,-28.498,-26.519000000000002,1.979,78.12,32.096,768.0,AF
15,2018-11-14 15:00:00,0.471,187.7,7.02,0.301,0.123,-28.767,-27.533,1.234,78.13,15.833,767.7,AF
16,2018-11-14 16:00:00,0.459,177.7,5.203,0.241,0.152,-29.201999999999998,-27.713,1.489,77.96,2.2359999999999998,767.5,AF
17,2018-11-14 17:00:00,0.508,217.6,6.156,0.303,0.133,-28.997,-27.392,1.605,77.92,0.102,767.2,AF
18,2018-11-14 18:00:00,0.444,214.5,5.475,0.358,0.121,-29.189,-27.674,1.515,77.75,0.0,766.9,AF
19,2018-11-14 19:00:00,0.396,211.8,6.735,0.347,0.136,-28.959,-27.289,1.67,77.94,0.0,766.6,AF
20,2018-11-14 20:00:00,0.095,177.1,4.97,0.27,0.147,-29.291,-27.713,1.578,77.76,0.0,766.3,AF
21,2018-11-14 21:00:00,0.129,120.2,2.122,0.362,0.147,-28.741,-27.649,1.092,78.28,0.0,766.1,AF
22,2018-11-14 22:00:00,0.365,158.1,3.307,0.163,0.128,-28.14,-26.826999999999998,1.3130000000000002,78.52,0.102,765.9,AF
23,2018-11-14 23:00:00,0.044,162.4,0.589,0.119,0.087,-28.561999999999998,-27.43,1.1320000000000001,78.24,0.0,765.6,AF
24,2018-11-15 00:00:00,0.117,174.7,2.335,0.249,0.112,-28.409000000000002,-27.122,1.287,78.41,0.0,765.2,AF
25,2018-11-15 01:00:00,0.057,176.3,1.159,0.141,0.106,-28.485,-26.916999999999998,1.568,78.18,0.0,765.0,AF
26,2018-11-15 02:00:00,0.417,198.2,3.971,0.407,0.109,-28.383000000000003,-25.647,2.736,78.39,0.0,764.6,AF
27,2018-11-15 03:00:00,0.394,209.3,5.754,0.392,0.13,-27.04,-24.274,2.766,79.16,0.0,764.4,AF
