Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
1/3/2019 0:00,IL,IL,IL,0.251,0.101,-14.349,-14.431,-0.082,89.3,0,740.6,AF
1/3/2019 1:00,IL,IL,IL,0.288,0.101,-14.592,-14.585,0.007,89.1,0,741.2,AF
1/3/2019 2:00,IL,IL,IL,0.354,0.115,-14.976,-14.97,0.006,88.8,0,741.9,AF
1/3/2019 3:00,IL,IL,IL,0.557,0.15,-15.462,-15.444,0.018,88.5,0,742.6,AF
1/3/2019 4:00,0.476,267,5.397,0.968,0.095,-16.473,-16.587,-0.114,87.6,0,743.4,AF
1/3/2019 5:00,0.573,275.4,5.184,0.966,0.084,-16.447,-16.625,-0.178,87.5,0,744.3,AF
1/3/2019 6:00,1.452,265.7,5.284,1.043,0.108,-15.398,-15.457,-0.059,88.4,0.102,745.1,AF
1/3/2019 7:00,11.05,276.6,4.41,1.6,0.326,-15.155,-15.201,-0.046,88.6,0,745.7,AF
1/3/2019 8:00,12.38,276.2,4.345,1.364,0.244,-15.795,-15.894,-0.099,88,0,746.6,AF
1/3/2019 9:00,12.06,274.2,4.189,1.024,0.2,-16.537,-16.638,-0.101,87.4,0,747.5,AF
1/3/2019 10:00,12.22,272.4,4.182,0.88,0.192,-17.471,-17.562,-0.091,86.6,0,748.2,AF
1/3/2019 11:00,11.39,268.7,4.426,0.744,0.176,-17.854,-17.934,-0.08,86.3,0,749.2,AF
1/3/2019 12:00,10.46,263.5,4.195,0.636,0.153,-18.558,-18.563,-0.005,85.7,0.102,750.2,AF
1/3/2019 13:00,10.62,262.4,3.862,0.631,0.139,-18.891,-18.909,-0.018,85.4,0.316,750.9,AF
1/3/2019 14:00,10.54,265.9,4.307,0.642,0.155,-18.891,-19.025,-0.134,85.5,0.429,751.8,AF
1/3/2019 15:00,10.17,267.2,4.098,0.618,0.15,-19.53,-19.718,-0.188,84.9,0.215,752.4,AF
1/3/2019 16:00,9.03,271.9,3.857,0.587,0.147,-20.132,-20.257,-0.125,84.4,0,752.9,AF
1/3/2019 17:00,8.61,272,3.844,0.552,0.141,-20.387,-20.513,-0.126,84.2,0,753.5,AF
1/3/2019 18:00,8.53,269.5,3.702,0.522,0.136,-20.567,-20.706,-0.139,84,0,754,AF
1/3/2019 19:00,8.1,266.6,4.094,0.483,0.136,-20.899,-21.014,-0.115,83.8,0,754.5,AF
1/3/2019 20:00,6.876,263.5,4.089,0.418,0.12,-22.179,-22.207,-0.028,82.9,-0.102,755,AF
1/3/2019 21:00,6.713,256,3.652,0.397,0.117,-23.189,-23.131,0.058,81.8,0,755.4,AF
1/3/2019 22:00,5.003,243.5,4.566,0.314,0.112,-24.456,-24.197,0.259,81,0,755.7,AF
1/3/2019 23:00,5.137,246.7,4.194,0.297,0.1,-25.607,-25.069,0.538,80.2,0,756,AF
1/4/2019 0:00,4.634,236.7,6.978,0.251,0.111,-27.065,-26.096,0.969,79.4,0,756.3,AF
1/4/2019 1:00,3.598,227.5,4.106,0.142,0.109,-27.411,-26.263,1.148,79.17,0,756.6,AF
1/4/2019 2:00,3.371,222.6,3.639,0.117,0.089,-28.114,-26.275,1.839,78.56,0,756.8,AF
1/4/2019 3:00,2.817,215.7,2.383,0.152,0.098,-28.332,-25.98,2.352,78.15,0,756.9,AF
1/4/2019 4:00,2.307,209.9,5.511,0.176,0.106,-28.639,-25.544,3.095,77.89,0,756.9,AF
1/4/2019 5:00,2.471,186,6.026,0.159,0.133,-29.573,-25.955,3.618,77.42,0,756.9,AF
1/4/2019 6:00,2.461,157.8,5.393,0.1,0.111,-29.304,-25.736,3.568,77.48,0,756.7,AF
1/4/2019 7:00,2.427,136.9,4.234,0.176,0.109,-28.178,-25.441,2.737,78.27,0,756.7,AF
1/4/2019 8:00,3.446,146,1.734,0.219,0.097,-29.023,-26.545,2.478,77.58,0,756.7,AF
1/4/2019 9:00,3.67,139,2.778,0.269,0.1,-28.537,-25.762,2.775,78.14,0,756.5,AF
1/4/2019 10:00,3.473,140.5,5.129,0.268,0.098,-28.166,-26.237,1.929,78.31,0,756.6,AF
1/4/2019 11:00,3.536,133.8,4.145,0.275,0.101,-28.332,-26.609,1.723,78.06,0,756.4,AF
1/4/2019 12:00,2.897,140.2,21.24,0.202,0.144,-28.549,-27.097,1.452,77.99,0.102,756.2,AF
1/4/2019 13:00,3.492,137.2,4.991,0.273,0.101,-28.025,-26.609,1.416,78.43,0.429,756,AF
1/4/2019 14:00,3.38,131.1,5.019,0.244,0.109,-28.473,-27.225,1.248,77.79,0.531,756,AF
1/4/2019 15:00,3.814,126.5,5.156,0.216,0.123,-29.88,-28.239,1.641,76.77,0.215,755.9,AF
1/4/2019 16:00,2.592,131.3,12.56,0.147,0.16,-29.56,-28.765,0.795,77.44,0,755.8,AF
1/4/2019 17:00,3.893,123.9,4.829,0.26,0.103,-29.343,-28.393,0.95,77.38,0,755.7,AF
1/4/2019 18:00,4.235,120,4.739,0.237,0.115,-29.547,-28.521,1.026,77.03,0,755.5,AF
1/4/2019 19:00,2.167,136,12.13,0.092,0.154,-29.534,-28.932,0.602,77.58,0,755.5,AF
1/4/2019 20:00,3.74,126.7,7.611,0.216,0.145,-28.178,-27.289,0.889,78.23,0,755.4,AF
1/4/2019 21:00,2.638,127.2,13.05,0.171,0.183,-28.396,-27.726,0.67,78.11,0,755.4,AF
1/4/2019 22:00,4.589,117.1,5.163,0.177,0.161,-27.961,-26.994,0.967,78.32,0,755.2,AF
1/4/2019 23:00,4.775,116.4,3.508,0.16,0.125,-29.573,-27.341,2.232,76.8,0,755.2,AF
1/5/2019 0:00,3.296,123.5,7.069,0.165,0.128,-29.918,-28.688,1.23,76.91,0,755.3,AF
1/5/2019 1:00,2.844,118.3,6.24,0.068,0.112,-30.43,-29.099,1.331,76.56,0,755.4,AF
1/5/2019 2:00,3.097,121,3.237,0.116,0.104,-30.225,-28.303,1.922,76.63,0,755.5,AF
1/5/2019 3:00,0.706,128.3,6.622,0.089,0.068,-32.285,-29.638,2.647,75.2,-0.102,755.8,AF
1/5/2019 4:00,0.071,151.1,12.56,0.067,0.037,-32.042,-30.549,1.493,75.41,-0.102,756.1,AF
1/5/2019 5:00,0.132,88.9,13.59,0.07,0.037,-32.106,-31.062,1.044,75.41,-0.102,756.5,AF
1/5/2019 6:00,0.61,211.9,7.559,0.09,0.082,-32.068,-31.396,0.672,75.25,-0.102,756.7,AF
1/5/2019 7:00,2.771,238.2,6.126,0.142,0.106,-31.517,-29.266,2.251,75.27,0,756.9,AF
1/5/2019 8:00,4.452,238.1,4.505,0.199,0.13,-31.556,-29.894,1.662,75.35,0,757.3,AF
1/5/2019 9:00,4.311,249.2,3.796,0.202,0.126,-30.929,-29.291,1.638,75.99,0,757.7,AF
1/5/2019 10:00,4.304,244.9,4.237,0.268,0.108,-31.402,-29.625,1.777,75.81,0,758.2,AF
1/5/2019 11:00,4.903,247.2,2.979,0.26,0.111,-32.439,-30.972,1.467,75.06,0,758.7,AF
1/5/2019 12:00,4.455,256.1,5.469,0.219,0.116,-32.579,-31.306,1.273,74.87,0.102,759.1,AF
