,Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb)
0,2018-04-01 01:00:00,12.22,284.7,4.016,2.013 IF,0.398 IF,-9.55,-9.54,0.013,91.0,-0.041,768.5
1,2018-04-01 02:00:00,11.95,284.7,3.084,1.979 IF,0.407 IF,-10.85,-10.78,0.069,90.2,0.02,769.4
2,2018-04-01 03:00:00,11.0,282.6,2.956,1.803 IF,0.356 IF,-11.33,-11.26,0.07,89.9,0.016,770.2
3,2018-04-01 04:00:00,11.16,283.2,3.29,1.847 IF,0.398 IF,-12.3,-12.14,0.156,89.3,0.01,771.0
4,2018-04-01 05:00:00,10.47,280.6,3.096,1.683 IF,0.365 IF,-12.96,-12.79,0.177,88.8,0.012,771.8
5,2018-04-01 06:00:00,10.41,277.9,2.834,1.673 IF,0.382 IF,-13.19,-13.19,-0.001,88.5,0.009,772.5
6,2018-04-01 07:00:00,11.45,278.5,3.005,1.912 IF,0.405 IF,-13.15,-13.21,-0.063,88.3,0.508,773.2
7,2018-04-01 08:00:00,11.86,281.2,2.598,1.98 IF,0.378 IF,-13.69,-13.8,-0.111,87.8,12.32,773.8
8,2018-04-01 09:00:00,10.75,280.0,2.655,1.77 IF,0.33 IF,-14.38,-14.57,-0.188,86.4,90.5,774.5
9,2018-04-01 10:00:00,10.9,278.0,2.775,1.778 IF,0.369 IF,-14.8,-15.36,-0.559,83.5,242.7,775.1
10,2018-04-01 11:00:00,9.99,277.8,2.705,1.617 IF,0.335 IF,-14.85,-15.61,-0.763,80.7,380.6,775.9
11,2018-04-01 12:00:00,9.01,277.6,2.545,1.387 IF,0.293 IF,-14.93,-15.52,-0.583,78.57,472.5,776.5
12,2018-04-01 13:00:00,9.61,276.6,2.655,1.521 IF,0.314 IF,-15.02,-15.1,-0.086,78.37,524.2,777.0
13,2018-04-01 14:00:00,9.35,277.9,2.842,1.489 IF,0.312 IF,-15.21,-14.89,0.322,80.1,545.9,777.6
14,2018-04-01 15:00:00,9.2,282.6,2.89,1.493 IF,0.275 IF,-15.26,-14.82,0.443,80.7,545.8,778.0
15,2018-04-01 16:00:00,8.29,283.9,2.967,1.349 IF,0.259 IF,-15.16,-14.81,0.346,81.0,508.3,778.3
16,2018-04-01 17:00:00,6.495,274.0,4.614,0.986 IF,0.23 IF,-14.98,-14.44,0.538,80.1,448.5,778.7
17,2018-04-01 18:00:00,5.904,265.3,5.788,0.828 IF,0.217 IF,-15.02,-14.65,0.373,79.77,367.1,778.9
18,2018-04-01 19:00:00,6.204,258.3,4.859,0.797 IF,0.183 IF,-15.24,-15.29,-0.053,80.1,267.7,779.1
19,2018-04-01 20:00:00,5.489,252.2,5.912,0.644 IF,0.165 IF,-16.09,-16.18,-0.09,81.0,152.4,779.2
20,2018-04-01 21:00:00,5.792,246.7,6.132,0.636 IF,0.124 IF,-17.81,-17.13,0.686,82.3,52.68,779.2
21,2018-04-01 22:00:00,5.297,246.5,8.58,0.535 IF,0.161 IF,-19.45,-18.11,1.341,84.1,5.856,779.1
22,2018-04-01 23:00:00,5.361,234.7,7.102,0.444 IF,0.185 IF,-20.32,-19.04,1.283,84.4,0.208,779.1
23,2018-04-02 00:00:00,4.694,242.6,6.103,0.455 IF,0.155 IF,-20.41,-18.82,1.592,84.8,0.122,778.9
24,2018-04-02 01:00:00,3.863,239.5,9.43,0.375 IF,0.152 IF,-20.96,-19.19,1.774,84.2,0.158,778.8
25,2018-04-02 02:00:00,2.748,238.5,15.7,0.245 IF,0.133 IF,-20.92,-19.36,1.554,84.4,0.16,778.6
26,2018-04-02 03:00:00,1.802,259.6,12.56,0.17 IF,0.115 IF,-20.78,-19.5,1.275,84.3,0.077,778.4
27,2018-04-02 04:00:00,2.348,221.1,14.26,0.197 IF,0.132 IF,-21.9,-19.59,2.315,83.3,0.125,777.9
28,2018-04-02 05:00:00,1.7,211.0,8.04,0.162 IF,0.127 IF,-21.8,-18.73,3.067,83.4,0.116,777.5
29,2018-04-02 06:00:00,1.149,196.3,19.53,0.106 IF,0.149 IF,-22.82,-19.51,3.309,83.0,0.041,777.3
30,2018-04-02 07:00:00,0.821,161.0,6.644,0.014 IF,0.057 IF,-22.24,-18.55,3.689,83.0,1.049,777.0
31,2018-04-02 08:00:00,0.796,127.8,6.374,0.049 IF,0.102 IF,-21.73,-18.83,2.897,82.5,14.55,776.7
32,2018-04-02 09:00:00,0.87,104.1,7.611,0.054 IF,0.127 IF,-21.03,-18.94,2.084,82.4,59.19,776.5
33,2018-04-02 10:00:00,0.834,127.5,6.05,0.154 IF,0.106 IF,-19.98,-18.02,1.961,81.5,115.0,776.1
34,2018-04-02 11:00:00,0.573,125.1,6.441,0.103 IF,0.103 IF,-18.23,-17.05,1.182,81.2,184.2,775.6
35,2018-04-02 12:00:00,1.164,88.5,8.33,0.051 IF,0.108 IF,-16.34,-16.6,-0.253,80.7,294.7,775.3
36,2018-04-02 13:00:00,3.212,64.19,4.558,0.012 IF,0.095 IF,-16.9,-17.87,-0.973,81.0,343.1,775.2
37,2018-04-02 14:00:00,3.707,67.24,3.776,-0.048 IF,0.135 IF,-16.24,-16.93,-0.687,82.6,353.3,775.0
38,2018-04-02 15:00:00,4.127,79.24,3.094,-0.08 IF,0.2 IF,-15.52,-16.18,-0.66,83.6,302.1,774.7
39,2018-04-02 16:00:00,4.53,76.07,3.567,-0.094 IF,0.195 IF,-15.02,-15.83,-0.806,84.2,311.2,774.4
40,2018-04-02 17:00:00,4.441,73.22,3.234,-0.06 IF,0.166 IF,-15.04,-15.84,-0.795,84.0,270.8,774.4
41,2018-04-02 18:00:00,3.722,66.31,3.72,0.04 IF,0.175 IF,-15.6,-16.21,-0.617,83.8,266.1,774.5
42,2018-04-02 19:00:00,4.77,62.44,2.98,0.177 IF,0.222 IF,-16.06,-16.53,-0.471,83.8,185.8,774.5
43,2018-04-02 20:00:00,4.392,61.36,3.135,0.205 IF,0.224 IF,-17.37,-17.4,-0.036,83.6,133.1,774.6
44,2018-04-02 21:00:00,3.737,55.92,2.937,0.282 IF,0.207 IF,-19.15,-18.57,0.587,83.1,32.51,774.8
45,2018-04-02 22:00:00,3.657,44.78,3.054,0.264 IF,0.162 IF,-19.85,-19.03,0.82,83.4,4.862,774.8
46,2018-04-02 23:00:00,1.878,41.16,6.489,0.045 IF,0.12 IF,-21.52,-20.7,0.818,82.4,0.076,775.1
47,2018-04-03 00:00:00,1.983,35.42,9.96,-0.007 IF,0.214 IF,-22.27,-21.11,1.161,82.3,-0.055,775.2
48,2018-04-03 01:00:00,2.337,42.2,8.69,0.024 IF,0.191 IF,-23.0,-21.97,1.029,81.5,-0.076,775.6
49,2018-04-03 02:00:00,2.381,32.82,3.249,0.033 IF,0.1 IF,-23.62,-22.44,1.177,81.1,-0.051,775.9
50,2018-04-03 03:00:00,2.27,31.03,5.983,0.049 IF,0.14 IF,-24.42,-23.31,1.111,80.5,-0.054,776.0
51,2018-04-03 04:00:00,2.001,25.44,7.589,0.028 IF,0.119 IF,-25.2,-23.93,1.268,80.1,-0.022,776.1
52,2018-04-03 05:00:00,1.915,22.03,8.09,0.034 IF,0.157 IF,-25.36,-24.19,1.167,80.0,-0.01,776.3
53,2018-04-03 06:00:00,1.796,19.33,5.802,0.035 IF,0.105 IF,-25.77,-24.52,1.247,79.71,-0.001,776.5
54,2018-04-03 07:00:00,1.578,2.71,5.783,0.071 IF,0.104 IF,-26.15,-24.91,1.244,79.69,1.245,776.7
55,2018-04-03 08:00:00,1.604,338.9,8.07,0.125 IF,0.118 IF,-26.14,-25.42,0.723,79.1,27.85,776.9
56,2018-04-03 09:00:00,1.433,304.2,8.47,0.137 IF,0.117 IF,-24.74,-24.72,0.023,77.64,131.0,776.9
57,2018-04-03 10:00:00,1.455,310.5,7.994,0.153 IF,0.113 IF,-23.64,-22.93,0.715,76.03,260.3,776.8
58,2018-04-03 11:00:00,1.798,297.9,5.759,0.199 IF,0.111 IF,-22.69,-21.81,0.881,73.79,334.2,776.8
59,2018-04-03 12:00:00,2.528,300.0,7.158,0.317 IF,0.13 IF,-22.5,-22.43,0.073,75.14,214.6,776.9
60,2018-04-03 13:00:00,3.091,334.9,7.658,0.333 IF,0.181 IF,-21.03,-21.08,-0.044,78.17,222.0,776.9
61,2018-04-03 14:00:00,3.729,8.38,9.18,0.282 IF,0.204 IF,-19.39,-20.44,-1.048,79.27,243.7,776.8
62,2018-04-03 15:00:00,3.661,32.06,6.223,0.271 IF,0.219 IF,-18.62,-20.25,-1.633,78.36,246.3,776.8
63,2018-04-03 16:00:00,2.922,35.81,5.936,0.205 IF,0.208 IF,-18.05,-19.69,-1.645,77.72,231.1,776.7
64,2018-04-03 17:00:00,2.844,35.1,7.737,0.224 IF,0.213 IF,-17.77,-19.29,-1.528,77.78,210.0,776.6
65,2018-04-03 18:00:00,3.036,38.34,8.36,0.228 IF,0.211 IF,-17.71,-19.01,-1.305,78.23,175.4,776.4
66,2018-04-03 19:00:00,3.703,49.43,4.911,0.358 IF,0.181 IF,-18.21,-19.03,-0.819,79.22,121.6,776.6
67,2018-04-03 20:00:00,3.547,45.93,3.991,0.258 IF,0.194 IF,-18.52,-18.98,-0.463,80.4,71.85,776.6
68,2018-04-03 21:00:00,3.508,55.11,3.734,0.263 IF,0.179 IF,-18.92,-19.04,-0.121,81.6,28.34,776.5
69,2018-04-03 22:00:00,3.182,53.61,2.32,0.319 IF,0.122 IF,-21.37,-20.12,1.248,81.5,5.855,776.7
